"source_domain","target_domain","endpoint","endpoint_label","n_lowdata_rows","n_values_used","mean_delta_cindex_lowdata","median_delta_cindex_lowdata","sd_delta_cindex_lowdata","min_delta_cindex_lowdata","max_delta_cindex_lowdata","mean_transfer_cindex_lowdata","mean_target_only_cindex_lowdata","mean_alpha_lowdata","D_physical","distance_rank","is_nearest_source","is_farthest_source","transfer_gain_sign","arrow_direction","edge_width_recommended","edge_opacity_recommended"
"ICC","Panc_Body","event_os","Overall survival",4,"100;200;300;500",0.0225647298858777,0.0185223429894826,0.0159241073013868,0.00826462981760253,0.0449496037469429,0.653598985803713,0.631034255917835,0.641,0.470579364911125,3,FALSE,FALSE,"positive","ICC -> Panc_Body",8.801,0.845
"HCC","Panc_Body","event_os","Overall survival",4,"100;200;300;500",0.0239938613784794,0.0199248326564896,0.0164612603034267,0.0089890236560027,0.0471367565449359,0.655028117296315,0.631034255917835,0.7145,0.676896449050609,4,FALSE,FALSE,"positive","HCC -> Panc_Body",9.232,0.883
"Gallbladder","Panc_Body","event_os","Overall survival",4,"100;200;300;500",0.0236144941142904,0.0194431308275195,0.016641422791289,0.00852557821274351,0.047046136589379,0.654648750032126,0.631034255917835,0.724,0.690495928056338,5,FALSE,TRUE,"positive","Gallbladder -> Panc_Body",9.118,0.873
"Panc_Body","Panc_Head","event_os","Overall survival",4,"100;200;300;500",0.0246703051233276,0.0199038289974692,0.0179115829249288,0.00921409702821856,0.0496594654701534,0.647659268702886,0.622988963579558,0.706,0.317787346374979,1,TRUE,FALSE,"positive","Panc_Body -> Panc_Head",9.436,0.901
"ICC","Panc_Head","event_os","Overall survival",4,"100;200;300;500",0.0167412415423127,0.0124420532532828,0.0146957925344434,0.00460827080184395,0.0374725888608411,0.639730205121871,0.622988963579558,0.42375,0.462214288663647,2,FALSE,FALSE,"positive","ICC -> Panc_Head",7.046,0.692
"Gallbladder","Panc_Head","event_os","Overall survival",4,"100;200;300;500",0.0149684315722015,0.011303010558835,0.013167190342746,0.00378716021546623,0.0334805449556698,0.63795739515176,0.622988963579558,0.308,0.504937694252369,3,FALSE,FALSE,"positive","Gallbladder -> Panc_Head",6.512,0.645
"HCC","Panc_Head","event_os","Overall survival",4,"100;200;300;500",0.0156942026395957,0.0116141730073925,0.0141125031430611,0.00391512669873864,0.0356333378448594,0.638683166219155,0.622988963579558,0.3825,0.612844660119338,4,FALSE,FALSE,"positive","HCC -> Panc_Head",6.73,0.664
"Panc_Tail","Panc_Head","event_os","Overall survival",4,"100;200;300;500",0.0199929072262192,0.0155581975708421,0.0161921192645123,0.00615009205259247,0.0427051417106,0.642981870805778,0.622988963579558,0.4835,0.669555881220056,5,FALSE,TRUE,"positive","Panc_Tail -> Panc_Head",8.026,0.777
"Panc_Body","Panc_Tail","event_os","Overall survival",4,"100;200;300;500",0.0202388468642352,0.0162215637601133,0.012353727971811,0.0105715178675876,0.0379407420691265,0.655479516977956,0.635240670113721,0.82675,0.416791188699131,1,TRUE,FALSE,"positive","Panc_Body -> Panc_Tail",8.1,0.784
"Panc_Head","Panc_Tail","event_os","Overall survival",4,"100;200;300;500",0.0181690086357511,0.0142701531631435,0.0120384734915004,0.00868022031364639,0.0354555079030713,0.653409678749472,0.635240670113721,0.7575,0.669555881220056,2,FALSE,FALSE,"positive","Panc_Head -> Panc_Tail",7.476,0.729
"ICC","Panc_Tail","event_os","Overall survival",4,"100;200;300;500",0.013978715434908,0.0104190084472572,0.0107260857310282,0.00564384187093566,0.0294330029741821,0.649219385548629,0.635240670113721,0.556,0.791272310087412,3,FALSE,FALSE,"positive","ICC -> Panc_Tail",6.213,0.619
"HCC","Panc_Tail","event_os","Overall survival",4,"100;200;300;500",0.0147971926491349,0.0111018963512095,0.0112774187486659,0.00595211605435003,0.0310328618397706,0.650037862762856,0.635240670113721,0.60675,0.987006776074949,4,FALSE,FALSE,"positive","HCC -> Panc_Tail",6.46,0.64
"Gallbladder","Panc_Tail","event_os","Overall survival",4,"100;200;300;500",0.0167925454060001,0.0127737423057051,0.012404687530336,0.00699867597355969,0.0346240210390306,0.652033215519721,0.635240670113721,0.73175,1.0736764713299,5,FALSE,TRUE,"positive","Gallbladder -> Panc_Tail",7.061,0.693
