"source_domain","target_domain","endpoint","endpoint_label","n_lowdata_rows","n_values_used","mean_delta_cindex_lowdata","median_delta_cindex_lowdata","sd_delta_cindex_lowdata","min_delta_cindex_lowdata","max_delta_cindex_lowdata","mean_transfer_cindex_lowdata","mean_target_only_cindex_lowdata","mean_alpha_lowdata","D_physical","distance_rank","is_nearest_source","is_farthest_source","transfer_gain_sign","arrow_direction","edge_width_recommended","edge_opacity_recommended"
"Panc_Body","Panc_Head","event_css","Cancer-specific survival",4,"100;200;300;500",0.0250797444160048,0.0230532478682769,0.0153598581211312,0.00942489561146774,0.0447875863159976,0.64840513008268,0.623325385666675,0.682,0.317787346374979,1,TRUE,FALSE,"positive","Panc_Body -> Panc_Head",9.524,0.908
"ICC","Panc_Head","event_css","Cancer-specific survival",4,"100;200;300;500",0.0164910216739265,0.0141683014889723,0.0126522891886412,0.00448397206049595,0.0331435116572655,0.639816407340602,0.623325385666675,0.43425,0.462214288663647,2,FALSE,FALSE,"positive","ICC -> Panc_Head",6.948,0.683
"Gallbladder","Panc_Head","event_css","Cancer-specific survival",4,"100;200;300;500",0.0131639645913733,0.0107859006358974,0.0110171862554533,0.00305950891216489,0.0280245481815335,0.636489350258049,0.623325385666675,0.262,0.504937694252369,3,FALSE,FALSE,"positive","Gallbladder -> Panc_Head",5.949,0.596
"HCC","Panc_Head","event_css","Cancer-specific survival",4,"100;200;300;500",0.0152896842143341,0.012932547422691,0.0121570355530256,0.00383418479351001,0.0314594572184443,0.63861506988101,0.623325385666675,0.3715,0.612844660119338,4,FALSE,FALSE,"positive","HCC -> Panc_Head",6.587,0.651
"Panc_Tail","Panc_Head","event_css","Cancer-specific survival",4,"100;200;300;500",0.0200984949453703,0.0180467148913325,0.0139350962715316,0.00613529264234246,0.0381652573564738,0.643423880612045,0.623325385666675,0.4715,0.669555881220056,5,FALSE,TRUE,"positive","Panc_Tail -> Panc_Head",8.03,0.778
"Panc_Body","Panc_Tail","event_css","Cancer-specific survival",4,"100;200;300;500",0.019956447348408,0.0180499031720273,0.00937093422601569,0.0113147828793916,0.0324112001701859,0.655021830935256,0.635065383586847,0.8445,0.416791188699131,1,TRUE,FALSE,"positive","Panc_Body -> Panc_Tail",7.987,0.774
"Panc_Head","Panc_Tail","event_css","Cancer-specific survival",4,"100;200;300;500",0.0170534644654427,0.0150215936425456,0.00905569616452318,0.00886953206845948,0.0293011385082202,0.65211884805229,0.635065383586847,0.781,0.669555881220056,2,FALSE,FALSE,"positive","Panc_Head -> Panc_Tail",7.116,0.698
"ICC","Panc_Tail","event_css","Cancer-specific survival",4,"100;200;300;500",0.0141498626534381,0.0125350341413365,0.00803615988816382,0.00664216762639336,0.0248872147046859,0.649215246240285,0.635065383586847,0.63075,0.791272310087412,3,FALSE,FALSE,"positive","ICC -> Panc_Tail",6.245,0.621
"HCC","Panc_Tail","event_css","Cancer-specific survival",4,"100;200;300;500",0.0158195137653737,0.0140938255892259,0.00879679200895657,0.00748658804481331,0.0276038158382296,0.650884897352221,0.635065383586847,0.6695,0.987006776074949,4,FALSE,FALSE,"positive","HCC -> Panc_Tail",6.746,0.665
"Gallbladder","Panc_Tail","event_css","Cancer-specific survival",4,"100;200;300;500",0.0158554709525569,0.0136462647360624,0.00927049818799699,0.00783240133460664,0.028296953003496,0.650920854539405,0.635065383586847,0.75725,1.0736764713299,5,FALSE,TRUE,"positive","Gallbladder -> Panc_Tail",6.757,0.666
