"source_domain","target_domain","endpoint","endpoint_label","n_lowdata_rows","n_values_used","mean_delta_cindex_lowdata","median_delta_cindex_lowdata","sd_delta_cindex_lowdata","min_delta_cindex_lowdata","max_delta_cindex_lowdata","mean_transfer_cindex_lowdata","mean_target_only_cindex_lowdata","mean_alpha_lowdata","D_physical","distance_rank","is_nearest_source","is_farthest_source","transfer_gain_sign","arrow_direction","edge_width_recommended","edge_opacity_recommended"
"ICC","Panc_Body","event_css","Cancer-specific survival",4,"100;200;300;500",0.0233622035264788,0.0191290255051958,0.0167851618384947,0.0082517598494117,0.046939003246112,0.653465868322677,0.630103664796198,0.7135,0.470579364911125,3,FALSE,FALSE,"positive","ICC -> Panc_Body",9.009,0.863
"HCC","Panc_Body","event_css","Cancer-specific survival",4,"100;200;300;500",0.0245822684437864,0.0200317726487085,0.0172871363430113,0.00925689082736655,0.0490086376503622,0.654685933239984,0.630103664796198,0.7535,0.676896449050609,4,FALSE,FALSE,"positive","HCC -> Panc_Body",9.375,0.895
"Gallbladder","Panc_Body","event_css","Cancer-specific survival",4,"100;200;300;500",0.0227817607719214,0.0181044174167133,0.0174321699825997,0.00751594134472202,0.0474022669095369,0.652885425568119,0.630103664796198,0.70475,0.690495928056338,5,FALSE,TRUE,"positive","Gallbladder -> Panc_Body",8.835,0.848
"Panc_Body","Panc_Head","event_css","Cancer-specific survival",4,"100;200;300;500",0.0250797444160048,0.0230532478682769,0.0153598581211312,0.00942489561146774,0.0447875863159976,0.64840513008268,0.623325385666675,0.682,0.317787346374979,1,TRUE,FALSE,"positive","Panc_Body -> Panc_Head",9.524,0.908
"ICC","Panc_Head","event_css","Cancer-specific survival",4,"100;200;300;500",0.0164910216739265,0.0141683014889723,0.0126522891886412,0.00448397206049595,0.0331435116572655,0.639816407340602,0.623325385666675,0.43425,0.462214288663647,2,FALSE,FALSE,"positive","ICC -> Panc_Head",6.948,0.683
"Gallbladder","Panc_Head","event_css","Cancer-specific survival",4,"100;200;300;500",0.0131639645913733,0.0107859006358974,0.0110171862554533,0.00305950891216489,0.0280245481815335,0.636489350258049,0.623325385666675,0.262,0.504937694252369,3,FALSE,FALSE,"positive","Gallbladder -> Panc_Head",5.949,0.596
"HCC","Panc_Head","event_css","Cancer-specific survival",4,"100;200;300;500",0.0152896842143341,0.012932547422691,0.0121570355530256,0.00383418479351001,0.0314594572184443,0.63861506988101,0.623325385666675,0.3715,0.612844660119338,4,FALSE,FALSE,"positive","HCC -> Panc_Head",6.587,0.651
"Panc_Tail","Panc_Head","event_css","Cancer-specific survival",4,"100;200;300;500",0.0200984949453703,0.0180467148913325,0.0139350962715316,0.00613529264234246,0.0381652573564738,0.643423880612045,0.623325385666675,0.4715,0.669555881220056,5,FALSE,TRUE,"positive","Panc_Tail -> Panc_Head",8.03,0.778
"Panc_Body","Panc_Tail","event_css","Cancer-specific survival",4,"100;200;300;500",0.019956447348408,0.0180499031720273,0.00937093422601569,0.0113147828793916,0.0324112001701859,0.655021830935256,0.635065383586847,0.8445,0.416791188699131,1,TRUE,FALSE,"positive","Panc_Body -> Panc_Tail",7.987,0.774
"Panc_Head","Panc_Tail","event_css","Cancer-specific survival",4,"100;200;300;500",0.0170534644654427,0.0150215936425456,0.00905569616452318,0.00886953206845948,0.0293011385082202,0.65211884805229,0.635065383586847,0.781,0.669555881220056,2,FALSE,FALSE,"positive","Panc_Head -> Panc_Tail",7.116,0.698
