"endpoint","endpoint_label","target_domain","n_candidate_sources","mean_delta_all_sources","median_delta_all_sources","positive_source_fraction","nearest_source","nearest_D_physical","nearest_delta_cindex","farthest_source","farthest_D_physical","farthest_delta_cindex","best_source","best_D_physical","best_delta_cindex","nearest_minus_farthest_delta"
"event_css","Cancer-specific survival","Gallbladder",5,0.0156852727635641,0.0156455825141792,1,"HCC",0.447403577131581,0.0156455825141792,"Panc_Tail",1.0736764713299,0.0205867414646261,"Panc_Tail",1.0736764713299,0.0205867414646261,-0.00494115895044687
"event_css","Cancer-specific survival","HCC",5,0.0233100620535599,0.0254117269114209,1,"ICC",0.226766139971701,0.0260658046510036,"Panc_Tail",0.987006776074949,0.0254117269114209,"Gallbladder",0.447403577131581,0.0269881298161935,0.000654077739582742
"event_css","Cancer-specific survival","ICC",5,0.0217644414205297,0.0215269225594047,1,"HCC",0.226766139971701,0.024952490492582,"Panc_Tail",0.791272310087412,0.0215269225594047,"HCC",0.226766139971701,0.024952490492582,0.00342556793317735
"event_css","Cancer-specific survival","Panc_Body",5,0.0251167271901552,0.0245822684437864,1,"Panc_Head",0.317787346374979,0.0285866714872145,"Gallbladder",0.690495928056338,0.0227817607719214,"Panc_Head",0.317787346374979,0.0285866714872145,0.00580491071529307
"event_css","Cancer-specific survival","Panc_Head",5,0.0180245819682018,0.0164910216739265,1,"Panc_Body",0.317787346374979,0.0250797444160048,"Panc_Tail",0.669555881220056,0.0200984949453703,"Panc_Body",0.317787346374979,0.0250797444160048,0.00498124947063447
"event_css","Cancer-specific survival","Panc_Tail",5,0.0165669518370439,0.0158554709525569,1,"Panc_Body",0.416791188699131,0.019956447348408,"Gallbladder",1.0736764713299,0.0158554709525569,"Panc_Body",0.416791188699131,0.019956447348408,0.00410097639585116
"event_os","Overall survival","Gallbladder",5,0.0149091708150986,0.0145292816827982,1,"HCC",0.447403577131581,0.0145292816827982,"Panc_Tail",1.0736764713299,0.0212596783195094,"Panc_Tail",1.0736764713299,0.0212596783195094,-0.00673039663671125
"event_os","Overall survival","HCC",5,0.0213775164441798,0.023597332918033,1,"ICC",0.226766139971701,0.0236774039399099,"Panc_Tail",0.987006776074949,0.023597332918033,"Gallbladder",0.447403577131581,0.0268300811926875,8.00710218769006e-05
"event_os","Overall survival","ICC",5,0.0213560375432726,0.0207884416678086,1,"HCC",0.226766139971701,0.0238727320220368,"Panc_Tail",0.791272310087412,0.0207884416678086,"HCC",0.226766139971701,0.0238727320220368,0.00308429035422823
"event_os","Overall survival","Panc_Body",5,0.0248503790578168,0.0239938613784794,1,"Panc_Head",0.317787346374979,0.0278892057679542,"Gallbladder",0.690495928056338,0.0236144941142904,"Panc_Head",0.317787346374979,0.0278892057679542,0.00427471165366385
"event_os","Overall survival","Panc_Head",5,0.0184134176207313,0.0167412415423127,1,"Panc_Body",0.317787346374979,0.0246703051233276,"Panc_Tail",0.669555881220056,0.0199929072262192,"Panc_Body",0.317787346374979,0.0246703051233276,0.00467739789710843
"event_os","Overall survival","Panc_Tail",5,0.0167952617980059,0.0167925454060001,1,"Panc_Body",0.416791188699131,0.0202388468642352,"Gallbladder",1.0736764713299,0.0167925454060001,"Panc_Body",0.416791188699131,0.0202388468642352,0.00344630145823505
